StadiumID,Active,Name,Address,City,State,Zip,Country,Capacity,GeoLat,GeoLong
1,true,Capital One Arena,601 F St. N.W.,Washington,DC,20004,USA,20290,38.898056,-77.020833
2,true,Spectrum Center,330 E. Trade St.,Charlotte,NC,28202,USA,19026,35.225,-80.839167
3,true,State Farm Arena,1 State Farm Drive,Atlanta,GA,30303,USA,18118,33.757222,-84.396389
4,true,American Airlines Arena,601 Biscayne Blvd.,Miami,FL,33132,USA,19600,25.781389,-80.188056
5,true,Amway Center,400 W. Church St.,Orlando,FL,32801,USA,18846,28.539167,-81.383611
6,true,Madison Square Garden,Four Pennsylvania Plaza,New York,NY,10001,USA,19812,40.750556,-73.993611
7,true,Wells Fargo Center,3601 S. Broad St.,Philadelphia,PA,19148,USA,20328,39.901111,-75.171944
8,true,Barclays Center,620 Atlantic Ave.,Brooklyn,NY,11217,USA,18200,40.682661,-73.975225
9,true,TD Garden,100 Legends Way,Boston,MA,2114,USA,17565,42.366303,-71.062228
10,true,Scotiabank Arena,40 Bay St.,Toronto,ON,M5J 2X2,CAN,19800,43.643333,-79.379167
11,true,United Center,1901 W. Madison St.,Chicago,IL,60612,USA,20917,41.880556,-87.674167
12,true,Rocket Mortgage FieldHouse,One Center Court,Cleveland,OH,44115,USA,20562,41.496389,-81.688056
13,true,Bankers Life Fieldhouse,125 S. Pennsylvania St.,Indianapolis,IN,46204,USA,18165,39.763889,-86.155556
14,true,Little Caesars Arena,2645 Woodward Ave,Detroit,MI,48201,USA,20491,42.551262,-83.217862
15,true,Fiserv Forum,1001 N Fourth St.,Milwaukee,WI,53203,USA,19000,43.043611,-87.916944
16,true,Target Center,600 First Ave. North,Minneapolis,MN,55403,USA,19356,44.979444,-93.276111
17,true,Vivint Smart Home Arena,301 W. South Temple St.,Salt Lake City,UT,84101,USA,19911,40.768333,-111.901111
18,true,Chesapeake Energy Arena,100 W. Reno Ave.,Oklahoma City,OK,73102,USA,18203,35.463333,-97.515
19,true,Moda Center,1 Center Court,Portland,OR,97227,USA,19980,45.531667,-122.666667
20,true,Pepsi Center,1000 Chopper Circle,Denver,CO,80204,USA,19155,39.748611,-105.0075
21,true,FedEx Forum,191 Beale St.,Memphis,TN,38103,USA,18119,35.138333,-90.050556
22,true,Toyota Center,1510 Polk St.,Houston,TX,77002,USA,18043,29.750833,-95.362222
23,true,Smoothie King Center,1501 Girod St.,New Orleans,LA,70113,USA,17188,29.948889,-90.081944
24,true,AT&T Center,One AT&T Center Parkway,San Antonio,TX,78219,USA,18581,29.426944,-98.4375
25,true,American Airlines Center,2500 Victory Ave.,Dallas,TX,75219,USA,19200,32.790556,-96.810278
26,true,Chase Center,Mission Bay Blocks 29-32,San Francisco,CA,94158,USA,18064,37.7681,-122.3875
27,true,Staples Center,1111 S. Figueroa St.,Los Angeles,CA,90015,USA,18997,34.043056,-118.267222
28,true,Talking Stick Resort Arena,201 E. Jefferson St.,Phoenix,AZ,85004,USA,18422,33.445833,-112.071389
29,true,Golden 1 Center,One Sports Parkway,Sacramento,CA,95834,USA,17317,38.649167,-121.518056
30,true,Mercedes-Benz Arena,Expo Ave.,Shanghai,PVG,310115,CHN,18000,31.151592,121.798698
31,true,Key Arena,305 Harrison St.,Seattle,WA,98109,USA,17072,47.621969,-122.329108
32,true,Dean E. Smith Center,,Chapel Hill,,,USA,,,
33,true,Valley View Casino Center,,San Diego,,,USA,,,
34,true,McCamish Pavilion,,Atlanta,,,USA,,,
35,true,Legacy Arena at BJCC,2100 Richard Arrington Jr. Blvd ,Birmingham,AL,35203,USA,19000,33.526969,-86.809553
36,true,Honda Center,2695 E. Katella Ave.,Anaheim,CA,92806,USA,18336,33.807778,-117.876667
37,true,BOK Center,200 South Denver Ave.,Tulsa,OK,74103,USA,19199,36.121663,-95.940621
38,true,Hilton Coliseum,1700 Center Dr.,Ames,IA,50011,USA,14356,42.025326,-93.633792
41,true,Shenzhen Universiade Center,3001 Longxiang Ave.,Shenzhen,,518115,CHN,60334,22.675843,113.817939
42,true,Bell Centre,1909 Avenue des Canadiens-de-Montreal,Montreal,QC,H3B 5E8,CAN,21273,45.496111,-73.569444
43,true,T-Mobile Arena,3780 S. Las Vegas Blvd.,Las Vegas,NV,89158,USA,17500,36.102778,-115.178333
44,true,Breslin Center,534 Birch Road,East Lansing,MI,48824,USA,14859,42.737577,-84.517733
45,true,SAP Center at San Jose,525 W. Santa Clara St.,San Jose,CA,95113,USA,17562,37.332778,-121.901111
46,true,Rogers Arena,800 Griffiths Way,Vancouver,BC,V6B 6G1,CAN,18890,49.277778,-123.108889
48,true,Mexico City Arena,Av. de las Granjas 800,Mexico City,,02230,Mexico,22300,19.49328,-99.173187
49,true,O2 ARENA,Peninsula Square,London,,SE10 0DX,UK,20000,51.501796,0.00188
51,true,Chase Center,,San Francisco,CA,,USA,,,
52,true,Lawrence Joel Veterans Memorial Colesium,,Winston-Salem,NC,,USA,,,
53,true,Saitama Super Arena,,Saitama City,,,Japan,,,
54,true,NSCI Dome,,Mumbai,,,India,,,
55,true,Stan Sheriff Center,,Honolulu,HA,,USA,,,
56,true,AccorHotels Arena,,Paris,,,France,,48.838653,2.3785
91,true,ESPN Wide World of Sports Complex,700 S Victory Way,Reunion,FL,34747,USA,,28.337083,-81.556
94,true,Arena Ciudad de Mexico,,Mexico City,,02230,Mexico,,,
