TeamID,Wins,Losses,ConferenceLosses,ConferenceWins,DivisionWins,DivisionLosses,HomeWins,HomeLosses,AwayWins,LastTenWins,LastTenLosses,Streak
10,58,24,16,36,12,4,32,9,26,7,3,2
7,51,31,21,31,8,8,31,10,20,4,6,1
9,49,33,17,35,10,6,28,13,21,6,4,1
8,42,40,23,29,8,8,23,18,19,6,4,3
6,17,65,41,11,2,14,9,32,8,3,7,-1
15,60,22,12,40,14,2,33,8,27,7,3,-1
13,48,34,19,33,11,5,29,12,19,4,6,1
14,41,41,25,27,8,8,26,15,15,4,6,2
11,22,60,36,16,3,13,9,32,13,2,8,-3
12,19,63,37,15,4,12,13,28,6,0,10,-10
5,42,40,22,30,10,6,25,16,17,8,2,4
2,39,43,23,29,10,6,25,16,14,6,4,-1
4,39,43,29,23,7,9,19,22,20,4,6,-1
1,32,50,33,19,7,9,22,19,10,2,8,-4
3,29,53,36,16,6,10,17,24,12,5,5,-3
20,54,28,18,34,12,4,34,7,20,5,5,1
19,53,29,23,29,6,10,32,9,21,8,2,3
17,50,32,22,30,8,8,29,12,21,8,2,-1
18,49,33,24,28,9,7,27,14,22,7,3,5
16,36,46,30,22,5,11,25,16,11,4,6,-3
26,57,25,17,35,13,3,30,11,27,8,2,-1
28,48,34,24,28,11,5,26,15,22,6,4,1
30,39,43,31,21,4,12,24,17,15,3,7,-3
27,37,45,27,25,9,7,22,19,15,6,4,-1
29,19,63,41,11,3,13,12,29,7,2,8,-2
22,53,29,20,32,10,6,31,10,22,8,2,-1
24,48,34,22,30,10,6,32,9,16,6,4,3
21,33,49,28,24,8,8,21,20,12,4,6,1
23,33,49,29,23,8,8,19,22,14,3,7,-1
25,33,49,34,18,4,12,24,17,9,5,5,-1
